name,year,selling_price, km_driven ,fuel,seller_type,transmission,owner,Year Grouping
Mahindra Scorpio LX,2009,"?411,000","120,000",Diesel,Individual,Manual,Second Owner,2006 - 2010
Hyundai Santro Xing GLS,2009,"?150,000","79,000",Petrol,Individual,Manual,Third Owner,2006 - 2010
Hyundai Grand i10 1.2 Kappa Asta,2019,"?500,000","15,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Alto LXi,2006,"?100,000","80,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Maruti Swift Dzire VDI Optional,2017,"?725,000","18,500",Diesel,Dealer,Manual,First Owner,2016 - 2020
Maruti Eeco 5 Seater AC BSIV,2018,"?401,000","10,200",Petrol,Dealer,Manual,First Owner,2016 - 2020
Hyundai i20 Sportz 1.4 CRDi,2018,"?750,000","29,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,"?310,000","28,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Maruti Swift ZDi BSIV,2016,"?665,000","46,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014,"?465,000","70,000",Diesel,Dealer,Manual,First Owner,2011 -2015
Maruti Alto LXi,2012,"?160,000","60,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Mahindra Jeep CL 500 MDI,1996,"?250,000","35,000",Diesel,Individual,Manual,Second Owner,1992 - 2000
Honda City i DTEC VX,2014,"?675,000","90,000",Diesel,Dealer,Manual,First Owner,2011 -2015
Maruti Wagon R VXI BS IV,2013,"?300,000","80,000",Petrol,Dealer,Manual,First Owner,2011 -2015
Tata Indica DLS,2005,"?70,000","80,000",Diesel,Individual,Manual,First Owner,2006 - 2010
Hyundai EON Magna Plus,2014,"?240,000","73,300",Petrol,Dealer,Manual,Second Owner,2011 -2015
Toyota Etios GD,2014,"?525,000","92,000",Diesel,Dealer,Manual,First Owner,2011 -2015
Maruti Alto LXi,2009,"?151,000","66,764",Petrol,Dealer,Manual,Second Owner,2006 - 2010
Maruti Alto LXi,2009,"?140,000","100,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,"?280,000","350,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Toyota Corolla Altis Diesel D4DG,2011,"?350,000","230,000",Diesel,Individual,Manual,First Owner,2011 -2015
Mahindra Scorpio 1.99 S6 Plus,2017,"?570,000","60,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai EON Magna Plus,2018,"?300,000","31,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Tata Indigo Classic Dicor,2007,"?100,000","39,000",Diesel,Individual,Manual,First Owner,2006 - 2010
Toyota Innova 2.5 V Diesel 8-seater,2009,"?500,000","120,000",Diesel,Individual,Manual,Third Owner,2006 - 2010
Tata Indica Vista Quadrajet LS,2014,"?125,000","166,000",Diesel,Individual,Manual,Fourth & Above Owner,2011 -2015
Maruti Swift 1.3 VXi,2006,"?130,000","110,000",Petrol,Individual,Manual,Third Owner,2006 - 2010
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,"?925,000","35,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Maruti Ciaz 1.3 Delta,2018,"?750,000","60,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Honda Civic 1.8 V AT,2007,"?200,000","54,000",Petrol,Individual,Automatic,Second Owner,2006 - 2010
Hyundai i10 Sportz 1.2,2010,"?248,000","63,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Skoda Rapid 1.5 TDI Elegance,2014,"?450,000","120,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Hyundai Getz GLS,2005,"?80,000","120,000",Petrol,Individual,Manual,Third Owner,2006 - 2010
Nissan Terrano XL,2014,"?650,000","76,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Hyundai Grand i10 CRDi Sportz,2015,"?450,000","80,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai Elite i20 Diesel Era,2019,"?650,000","25,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Honda Amaze S i-VTEC,2016,"?495,000","11,958",Petrol,Dealer,Manual,First Owner,2016 - 2020
Honda Brio S MT,2015,"?371,000","20,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Hyundai Creta 1.6 SX Option,2017,"?1,025,000","9,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Mercedes-Benz S-Class S 350d Connoisseurs Edition,2017,"?8,150,000","6,500",Diesel,Dealer,Automatic,First Owner,2016 - 2020
Mahindra XUV500 W8 2WD,2015,"?750,000","70,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Renault Duster 85PS Diesel RxL Optional,2013,"?600,000","120,000",Diesel,Individual,Manual,First Owner,2011 -2015
Hyundai Santro Xing XO,2007,"?80,000","58,000",Petrol,Dealer,Manual,Second Owner,2006 - 2010
Mahindra Bolero 2011-2019 SLE,2013,"?325,000","62,200",Diesel,Dealer,Manual,First Owner,2011 -2015
Audi A6 2.0 TDI Premium Plus,2014,"?1,470,000","34,000",Diesel,Dealer,Automatic,Second Owner,2011 -2015
Fiat Avventura MULTIJET Emotion,2015,"?350,000","53,000",Diesel,Individual,Manual,Second Owner,2016 - 2020
Audi A8 4.2 TDI,2013,"?2,800,000","49,000",Diesel,Dealer,Automatic,First Owner,2011 -2015
Datsun RediGO 1.0 S,2017,"?210,000","15,000",Petrol,Dealer,Manual,Second Owner,2016 - 2020
Volkswagen Jetta 1.4 TSI Comfortline,2013,"?450,000","50,000",Petrol,Individual,Manual,First Owner,2011 -2015
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013,"?1,150,000","53,000",Diesel,Dealer,Automatic,First Owner,2011 -2015
Honda Civic 1.8 V AT,2009,"?210,000","63,500",Petrol,Dealer,Automatic,First Owner,2006 - 2010
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018,"?4,500,000","9,800",Petrol,Dealer,Automatic,First Owner,2016 - 2020
BMW X1 sDrive 20d xLine,2017,"?2,750,000","13,000",Diesel,Individual,Automatic,First Owner,2016 - 2020
Volvo V40 D3 R Design,2018,"?1,975,000","21,000",Diesel,Dealer,Automatic,First Owner,2016 - 2020
Maruti SX4 Zxi BSIII,2008,"?175,000","29,173",Petrol,Dealer,Manual,First Owner,2006 - 2010
BMW 7 Series 730Ld,2012,"?2,500,000","48,000",Diesel,Dealer,Automatic,First Owner,2011 -2015
Mahindra Bolero Power Plus SLX,2017,"?628,000","120,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai Sonata CRDi M/T,2010,"?600,000","100,000",Diesel,Individual,Manual,First Owner,2011 -2015
Nissan Micra Active XV Petrol,2017,"?399,000","30,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Mahindra Xylo D4,2018,"?750,000","87,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019,"?750,000","15,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Renault KWID RXT,2017,"?315,000","16,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Mahindra Xylo E4 BS III,2012,"?600,000","60,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Wagon R LXI Minor,2010,"?100,000","60,000",Petrol,Individual,Manual,Fourth & Above Owner,2011 -2015
Maruti SX4 ZXI MT BSIV,2011,"?250,000","110,000",Petrol,Individual,Manual,Third Owner,2011 -2015
Renault KWID RXT,2017,"?350,000","25,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Hyundai Creta 1.4 CRDi S,2016,"?780,000","60,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Maruti Swift Dzire VDI,2014,"?434,000","79,350",Diesel,Individual,Manual,Second Owner,2011 -2015
Hyundai Verna 1.6 VTVT AT S Option,2016,"?690,000","80,000",Petrol,Individual,Automatic,First Owner,2016 - 2020
Mahindra Scorpio LX BSIV,2014,"?555,000","90,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Maruti SX4 Vxi BSIII,2007,"?120,000","90,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Maruti Ertiga VDI,2014,"?500,000","120,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Chevrolet Beat Diesel,2013,"?165,000","60,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Maruti Zen LX,2004,"?95,000","50,000",Petrol,Individual,Manual,First Owner,2001 - 2005
Maruti Baleno Delta 1.2,2018,"?550,000","20,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Swift Vdi BSIII,2007,"?100,000","110,000",Diesel,Individual,Manual,Fourth & Above Owner,2006 - 2010
Tata Nano Lx BSIV,2012,"?100,000","50,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012,"?500,000","100,000",Diesel,Individual,Manual,First Owner,2011 -2015
Maruti Ertiga SHVS VDI,2016,"?800,000","70,000",Diesel,Individual,Manual,Second Owner,2016 - 2020
Hyundai Creta 1.6 CRDi SX,2016,"?840,000","70,000",Diesel,Individual,Manual,Second Owner,2016 - 2020
Honda Amaze S i-Vtech,2016,"?490,000","50,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Tata Indica Vista Aqua 1.4 TDI,2010,"?125,000","81,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,"?400,000","120,000",Diesel,Individual,Manual,Third Owner,2011 -2015
Chevrolet Cruze LTZ,2015,"?1,000,000","3,600",Diesel,Dealer,Manual,First Owner,2016 - 2020
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015,"?530,000","14,272",Petrol,Dealer,Manual,First Owner,2016 - 2020
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,"?840,000","49,213",Diesel,Dealer,Manual,First Owner,2016 - 2020
Hyundai i10 Sportz 1.1L,2015,"?229,999","40,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti 800 Std,1998,"?40,000","40,000",Petrol,Individual,Manual,Fourth & Above Owner,1992 - 2000
Chevrolet Spark 1.0 LS,2012,"?130,000","80,000",Petrol,Individual,Manual,First Owner,2011 -2015
Hyundai EON Era Plus,2015,"?200,000","70,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Tata Indica Vista Aqua TDI BSIII,2011,"?120,000","70,000",Diesel,Individual,Manual,First Owner,2011 -2015
Hyundai Santro LP zipPlus,2003,"?75,000","57,000",Petrol,Individual,Manual,First Owner,2001 - 2005
Tata Bolt Quadrajet XE,2016,"?250,000","120,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Maruti 800 AC BSIII,2005,"?100,000","30,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Hyundai EON Era Plus,2013,"?280,000","3,240",Petrol,Individual,Manual,Second Owner,2011 -2015
Hyundai i20 Magna 1.2,2015,"?540,000","5,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Hyundai i20 1.2 Asta,2018,"?700,000","10,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Ciaz VDi Plus,2015,"?525,000","100,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai i20 Asta 1.4 CRDi,2016,"?430,000","80,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai Santro LE,2002,"?65,000","70,000",Petrol,Individual,Manual,First Owner,2001 - 2005
Maruti Vitara Brezza VDi,2018,"?800,000","35,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai Santro Xing XL eRLX Euro III,2007,"?75,000","114,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Hyundai Getz 1.3 GLS,2008,"?210,000","53,772",Petrol,Individual,Manual,First Owner,2006 - 2010
Mahindra Quanto C8,2012,"?195,000","140,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,"?400,000","120,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai EON Magna Plus,2012,"?170,000","60,000",Petrol,Individual,Manual,First Owner,2011 -2015
Renault KWID RXT,2016,"?225,000","25,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Wagon R DUO LPG,2014,"?210,000","90,000",LPG,Individual,Manual,First Owner,2011 -2015
Maruti Wagon R LXI,2020,"?240,000","120,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Chevrolet Enjoy 1.3 TCDi LS 8,2015,"?300,000","175,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Chevrolet Spark 1.0 LS,2011,"?99,000","100,000",Petrol,Individual,Manual,Third Owner,2011 -2015
Honda City i VTEC SV,2014,"?620,000","36,000",Petrol,Individual,Manual,First Owner,2011 -2015
Honda Amaze VX i-DTEC,2013,"?500,000","30,000",Diesel,Individual,Manual,First Owner,2011 -2015
Jaguar XJ 5.0 L V8 Supercharged,2010,"?2,550,000","40,000",Petrol,Individual,Automatic,Second Owner,2011 -2015
Honda Brio E MT,2013,"?260,000","70,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Maruti Swift VVT ZXI,2017,"?550,000","60,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Tata Indigo CR4,2011,"?150,000","155,500",Diesel,Individual,Manual,First Owner,2011 -2015
Hyundai i10 Asta AT,2011,"?350,000","50,000",Petrol,Individual,Automatic,Second Owner,2011 -2015
Chevrolet Beat LT,2016,"?320,000","40,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Swift VDI BSIV,2015,"?400,000","100,000",Diesel,Individual,Manual,Third Owner,2016 - 2020
Maruti Alto LXi,2012,"?175,000","80,000",Petrol,Individual,Manual,Third Owner,2011 -2015
Chevrolet Beat LT,2011,"?120,000","90,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Renault Duster 110PS Diesel RxZ,2013,"?320,000","90,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Hyundai Santro Xing XG,2006,"?70,000","110,000",Petrol,Individual,Manual,Third Owner,2006 - 2010
Maruti Swift Dzire ZXI Plus,2019,"?810,000","15,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti 800 AC,2007,"?95,000","100,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Maruti Alto K10 LXI CNG,2020,"?282,000","40,000",CNG,Individual,Manual,First Owner,2016 - 2020
Maruti 800 Std BSII,2004,"?80,000","60,000",Petrol,Individual,Manual,Second Owner,2001 - 2005
Tata Nano LX SE,2013,"?72,000","25,000",Petrol,Individual,Manual,First Owner,2011 -2015
Hyundai i20 Magna 1.2,2016,"?600,000","25,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,2015,"?640,000","23,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Alto K10 VXI,2018,"?380,000","22,155",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Ciaz 1.4 Delta,2018,"?650,000","70,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Alto LX,2009,"?150,000","60,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Hyundai i20 Asta,2009,"?280,000","110,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Tata Nexon 1.2 Revotron XM,2018,"?430,000","30,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Mahindra Bolero Power Plus SLX,2019,"?800,000","15,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Maruti Zen D,2003,"?75,000","100,000",Diesel,Individual,Manual,Second Owner,2001 - 2005
Volkswagen Vento Celeste 1.5 TDI Highline AT,2016,"?650,000","70,000",Diesel,Individual,Automatic,First Owner,2016 - 2020
Maruti Eeco 7 Seater Standard BSIV,2017,"?390,000","24,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Honda City 1.5 EXI,2005,"?100,000","120,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Mercedes-Benz New C-Class 220 CDI AT,2013,"?1,500,000","35,000",Diesel,Individual,Automatic,First Owner,2011 -2015
Maruti SX4 Zxi with Leather BSIII,2007,"?175,000","78,380",Petrol,Individual,Manual,First Owner,2006 - 2010
Renault Duster 110PS Diesel RxZ,2012,"?434,999","110,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Ford Figo Diesel Titanium,2010,"?170,000","90,000",Diesel,Individual,Manual,Third Owner,2011 -2015
Ford Figo Diesel Titanium,2011,"?190,000","90,000",Diesel,Individual,Manual,Third Owner,2011 -2015
Maruti Swift Dzire VDi,2009,"?250,000","150,000",Diesel,Individual,Manual,Third Owner,2006 - 2010
Mahindra Xylo E4,2009,"?229,999","230,000",Diesel,Individual,Manual,Third Owner,2006 - 2010
Maruti Esteem Vxi - BSIII,2006,"?140,000","70,000",Petrol,Individual,Manual,Third Owner,2006 - 2010
Maruti Swift VDI BSIV,2017,"?600,000","80,362",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai i20 1.2 Sportz,2012,"?280,000","110,000",Petrol,Individual,Manual,Third Owner,2011 -2015
Chevrolet Beat Diesel LT,2012,"?150,000","60,000",Diesel,Individual,Manual,First Owner,2011 -2015
Chevrolet Cruze LTZ AT,2015,"?650,000","50,000",Diesel,Individual,Automatic,First Owner,2016 - 2020
Nissan Micra XL,2014,"?210,000","40,000",Petrol,Individual,Manual,Second Owner,2011 -2015
BMW 5 Series 520d Luxury Line,2017,"?2,900,000","40,000",Diesel,Individual,Automatic,First Owner,2016 - 2020
Chevrolet Enjoy 1.3 TCDi LS 8,2013,"?425,000","20,000",Diesel,Dealer,Manual,First Owner,2011 -2015
Hyundai EON Era Plus Option,2014,"?265,000","55,000",Petrol,Dealer,Manual,First Owner,2011 -2015
Fiat Linea T Jet Emotion,2018,"?890,000","1,136",Petrol,Dealer,Manual,First Owner,2016 - 2020
Renault Scala RxL,2013,"?365,000","55,000",Petrol,Dealer,Manual,First Owner,2011 -2015
Ford Figo Petrol Titanium,2014,"?350,000","43,000",Petrol,Dealer,Manual,First Owner,2011 -2015
Maruti Ciaz ZDi SHVS,2016,"?685,000","60,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Skoda Rapid 1.5 TDI Ambition BSIV,2018,"?940,000","2,650",Diesel,Dealer,Manual,First Owner,2016 - 2020
Mahindra XUV500 W6 2WD,2017,"?1,000,000","40,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Mahindra XUV300 W8 Option,2019,"?1,150,000","15,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Maruti Ertiga SHVS ZDI,2016,"?450,000","115,962",Diesel,Individual,Manual,Second Owner,2016 - 2020
Nissan Terrano XE D,2015,"?590,000","65,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Maruti S-Cross Facelift,2017,"?800,000","40,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai i20 Magna 1.4 CRDi (Diesel),2012,"?385,000","58,000",Diesel,Dealer,Manual,First Owner,2011 -2015
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,2013,"?2,000,000","15,000",Diesel,Individual,Automatic,First Owner,2011 -2015
Hyundai EON Era Plus,2012,"?235,000","54,000",Petrol,Dealer,Manual,First Owner,2011 -2015
Volkswagen Ameo 1.5 TDI Highline,2017,"?640,000","56,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Maruti Alto LX,2006,"?52,000","120,000",Petrol,Individual,Manual,Third Owner,2006 - 2010
Maruti Omni LPG CARGO BSIII W IMMOBILISER,2009,"?80,000","90,000",LPG,Individual,Manual,Second Owner,2006 - 2010
Maruti Alto LX,2012,"?140,000","70,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Hyundai Verna i (Petrol),2008,"?120,000","90,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Mahindra Renault Logan 1.5 DLS,2008,"?89,999","213,000",Diesel,Individual,Manual,First Owner,2006 - 2010
Chevrolet Optra Magnum 2.0 LS BSIII,2012,"?180,000","120,000",Diesel,Individual,Manual,First Owner,2011 -2015
Mahindra Scorpio S11 BSIV,2017,"?1,500,000","20,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Hyundai i20 Active 1.2 SX,2017,"?700,000","10,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti SX4 Celebration Diesel,2012,"?285,000","80,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Hyundai Grand i10 Magna,2015,"?390,000","90,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Alto LXi BSIII,2008,"?125,000","80,000",Petrol,Individual,Manual,First Owner,2006 - 2010
Maruti SX4 Zxi with Leather BSIII,2008,"?225,000","60,000",Petrol,Individual,Manual,Second Owner,2006 - 2010
Hyundai i10 Era,2011,"?175,000","139,000",Petrol,Individual,Manual,Second Owner,2011 -2015
Toyota Innova 2.5 V Diesel 7-seater,2011,"?1,075,000","160,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Honda Mobilio V i DTEC,2014,"?300,000","150,000",Diesel,Individual,Manual,First Owner,2011 -2015
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2010,"?700,000","163,000",Diesel,Individual,Manual,Fourth & Above Owner,2011 -2015
Tata Indica V2 2001-2011 DLS BSIII,2009,"?90,000","120,000",Diesel,Dealer,Manual,First Owner,2006 - 2010
Tata Indica Vista TDI LS,2011,"?120,000","120,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Chevrolet Beat Diesel LS,2012,"?220,000","100,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Tata Zest Quadrajet 1.3 75PS XE,2015,"?300,000","140,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Skoda Fabia 1.2L Diesel Ambiente,2010,"?180,000","87,000",Diesel,Dealer,Manual,Second Owner,2011 -2015
Maruti 800 Std,2013,"?170,000","70,000",Petrol,Individual,Manual,First Owner,2011 -2015
Ford Figo Petrol Titanium,2015,"?300,000","50,000",Petrol,Individual,Manual,Second Owner,2016 - 2020
Toyota Innova 2.5 VX (Diesel) 8 Seater,2014,"?1,050,000","70,000",Diesel,Individual,Manual,First Owner,2011 -2015
Hyundai Grand i10 1.2 CRDi Asta,2018,"?465,000","25,000",Diesel,Individual,Manual,First Owner,2016 - 2020
Chevrolet Beat Diesel LT,2011,"?130,000","80,000",Diesel,Individual,Manual,Second Owner,2011 -2015
Datsun GO Plus T Option Petrol,2018,"?434,999","10,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Hyundai Grand i10 1.2 Kappa Asta,2018,"?500,000","32,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Omni MPI STD BSIV,2018,"?200,000","10,000",Petrol,Individual,Manual,First Owner,2016 - 2020
Maruti Baleno Alpha 1.2,2017,"?625,000","52,000",Petrol,Dealer,Manual,First Owner,2016 - 2020
Ford Fiesta Classic 1.4 SXI Duratorq,2006,"?110,000","120,000",Diesel,Individual,Manual,Third Owner,2006 - 2010
Hyundai Elite i20 Asta Option BSIV,2019,"?800,000","11,240",Petrol,Individual,Manual,First Owner,2016 - 2020
Hyundai Grand i10 CRDi Magna,2017,"?490,000","66,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Maruti Ertiga SHVS ZDI,2017,"?880,000","64,000",Diesel,Dealer,Manual,First Owner,2016 - 2020
Hyundai Santro Xing GL Plus,2013,"?290,000","49,000",Petrol,Individual,Manual,First Owner,2011 -2015
